1970	182
1971	282
1972	325
1973	869
1974	414
1975	537
1976	309
1977	472
1978	320
1979	210
1980	484
1981	240
1982	407
1983	626
1984	341
1985	480
1986	467
1987	481
1988	322
1989	451
1990	197
1991	556
1992	251
1993	921
1994	395
1995	294
1996	302
1997	319
1998	338
1999	604
2000	225
2001	75
2002	328
2003	429
2004	330
2005	319
2006	479
2007	320
2008	271
2009	363
2010	220
2011	612
2012	328
2013	438
2014	303
2015	401
2016	376
2017	262
2018	655
2019	250
2020	267
2021	292
2022	1508
2023	405
2024	328
2025	147
2026	123
2027	347
2028	348
2029	329
2030	500
2031	380
2032	333
2033	819
2034	369
2035	569
2036	280
2037	199
2038	334
2039	563
2040	309
2041	458
2042	553
2043	363
2044	356
2045	465
2046	399
2047	388
2048	131
2049	252
2050	443
2051	468
2052	630
2053	230
2054	969
2055	303
2056	349
2057	1
2058	341
2059	279
2060	748
2061	1069
2062	242
2063	445
2064	314
2065	306
2066	259
2067	227
2068	281
2069	485
2070	176
2071	350
2072	200
2073	621
2074	204
2075	150
2076	85
2077	224
2078	455
2079	153
2080	416
2081	19
2082	303
2083	870
2084	349
2085	129
2086	357
2087	192
2088	370
2089	199
2090	299
2091	336
2092	273
2093	397
2094	562
2095	297
2096	403
2097	484
2098	312
2099	291
2100	289
2101	296
2102	471
2103	331
2104	655
2105	359
2106	0
2107	514
2108	366
2109	1522
2110	133
2111	514
2112	585
2113	357
2114	442
2115	553
2116	214
2117	407
2118	328
2119	226
2120	736
2121	853
2122	493
2123	566
2124	295
2125	315
2126	465
2127	486
2128	621
2129	203
2130	424
2131	933
2132	41
2133	138
2134	429
2135	349
2136	315
2137	303
2138	356
2139	323
2140	334
2141	149
2142	127
2143	396
2144	547
2145	304
2146	28
2147	268
2148	619
2149	388
2150	305
2151	379
2152	776
2153	687
2154	425
2155	797
2156	544
2157	366
2158	511
2159	43
2160	408
2161	249
2162	330
2163	575
2164	530
2165	246
2166	371
2167	302
2168	272
2169	548
2170	255
2171	463
2172	199
2173	269
2174	441
2175	277
2176	427
2177	289
2178	430
2179	561
2180	339
2181	360
2182	427
2183	537
2184	961
2185	145
2186	519
2187	658
2188	866
2189	418
2190	503
2191	697
2192	665
2193	278
2194	411
2195	342
2196	335
2197	123
2198	430
2199	457
2200	214
2201	439
2202	676
2203	471
2204	187
2205	215
2206	227
2207	590
2208	453
2209	466
2210	318
2211	325
2212	156
2213	317
2214	366
2215	430
2216	163
2217	101
2218	381
2219	502
2220	818
2221	532
2222	414
2223	459
2224	213
2225	511
2226	377
2227	469
2228	875
2229	388
2230	438
2231	377
2232	556
2233	333
2234	143
2235	573
2236	838
2237	395
2238	327
2239	224
2240	966
2241	303
2242	501
2243	275
2244	249
2245	334
2246	325
2247	264
2248	339
2249	1423
2250	497
2251	334
2252	377
2253	485
2254	300
2255	690
2256	623
2257	125
2258	253
2259	50
2260	565
2261	403
2262	756
2263	405
2264	380
2265	728
2266	399
2267	248
